parameternames,value,description
mpod,411,Total pod mass (kg)
dt,0.01,time step (s)
xf,37,Target distance (m)
xdotf,0.01,Target final velocity at xf (m/s)
gForce_pusher(end),0.2,Pusher acceleration (gs)
deltat_pusher,1.5,Push time (s)
deltat_cruising,1,Cruising time between pusher and deceleration phase (minimum 2s required) (s)
brakegapNom,8,Nominal brake gap during controlled braking phase (mm)
deltax_dangerzone,7,Distance between final target and end of track (DANGER ZONE!!!) (m)
z_nom,0.016,Nominal hover height (m)
hover_option,1,Enables/disables hover-engines
ski_option,1,Enables/disables skis
instant_braking,0,true = brakes reach nominal brakegap instantaneously
PIDcontroller,0,true = brakes actuators use PID controller to adjust trajectory
Ppsi,14.5,Atmospheric air pressure inside SpaceX Hyperloop test tube (Psi)
P,99974.02,Atmospheric air pressure inside SpaceX Hyperloop test tube (Pa)
T,293.15,Atmospheric air temperature inside SpaceX Hyperloop test tube (K)
R,287.05,Ideal gas constant (J/(kg*K)
rho,1.1880636431641,Air density inside SpaceX Hyperloop test tube (kg/m^3)
eta_aerodrag,0,Estimated aerodynamic drag relative error
eta_hoverdrag,0,Estimated hover-engine drag relative error
eta_brakedrag,0,Estimated brake drag relative error
eta_skidrag,0,Estimated ski drag relative error
